n_max,caminantes,experimentos,prob,error
2,15,100,0.197333333333333,0.010419699895078
4,15,100,0.222000000000000,0.011011880126853
8,15,100,0.256666666666666,0.010265827067860
16,15,100,0.289333333333333,0.011220471910708
32,15,100,0.321333333333333,0.011962530352541
64,15,100,0.323333333333333,0.011696690563826
128,15,100,0.343333333333333,0.013108371567923
256,15,100,0.360666666666666,0.010555608718633
512,15,100,0.353333333333333,0.012226812728383
1024,15,100,0.370000000000000,0.014034589305345
2048,15,100,0.354666666666666,0.012530725425359
4096,15,100,0.370000000000000,0.012368273376164
8192,15,100,0.374000000000000,0.011868906080073
16384,15,100,0.370000000000000,0.012368273376164
32768,15,100,0.364000000000000,0.013381059364618
65536,15,100,0.360666666666666,0.011608851454764
131072,15,100,0.365333333333333,0.013449994680384
262144,15,100,0.366666666666666,0.012336472436988
524288,15,100,0.365333333333333,0.012444444444444
1048576,15,100,0.374000000000000,0.012531262813429
