n_max,caminantes,experimentos,prob,error
10,13,1000,0.188000,0.003394
20,13,1000,0.203154,0.003503
40,13,1000,0.205077,0.003488
80,13,1000,0.204154,0.003497
160,13,1000,0.217615,0.003543
320,13,1000,0.218769,0.003593
640,13,1000,0.213385,0.003516
1280,13,1000,0.213308,0.003472
2560,13,1000,0.216846,0.003670
5120,13,1000,0.213923,0.003795
10240,13,1000,0.211308,0.003658
20480,13,1000,0.214000,0.003532
40960,13,1000,0.217538,0.003707
81920,13,1000,0.212231,0.003502
163840,13,1000,0.209077,0.003747
