sweep,H,L,T
0,-128,8,4.000
1,-80,0,0
2,-56,0,0
3,-20,0,0
4,-28,0,0
5,-4,0,0
6,-32,0,0
7,-32,0,0
8,-36,0,0
9,-28,0,0
10,-36,0,0
11,-20,0,0
12,-48,0,0
13,-40,0,0
14,-36,0,0
15,-36,0,0
16,-36,0,0
17,-56,0,0
18,-68,0,0
19,-48,0,0
20,-56,0,0
21,-52,0,0
22,-32,0,0
23,-20,0,0
24,-16,0,0
25,-40,0,0
26,-56,0,0
27,-12,0,0
28,-28,0,0
29,-48,0,0
30,-60,0,0
31,-52,0,0
32,-32,0,0
33,-36,0,0
34,-16,0,0
35,-24,0,0
36,-36,0,0
37,-28,0,0
38,-36,0,0
39,-40,0,0
40,-36,0,0
41,-36,0,0
42,-32,0,0
43,-28,0,0
44,-28,0,0
45,-48,0,0
46,-36,0,0
47,-32,0,0
48,-40,0,0
49,-52,0,0
50,-44,0,0
51,-32,0,0
52,-36,0,0
53,-48,0,0
54,-40,0,0
55,-48,0,0
56,-40,0,0
57,-32,0,0
58,-32,0,0
59,-44,0,0
60,-28,0,0
61,-32,0,0
62,-28,0,0
63,-36,0,0
64,-60,0,0
65,-48,0,0
66,-32,0,0
67,-36,0,0
68,-76,0,0
69,-64,0,0
70,-24,0,0
71,-52,0,0
72,-40,0,0
73,-44,0,0
74,-36,0,0
75,-40,0,0
76,-32,0,0
77,-24,0,0
78,-32,0,0
79,-36,0,0
80,-20,0,0
81,-20,0,0
82,-20,0,0
83,-44,0,0
84,-36,0,0
85,-36,0,0
86,-24,0,0
87,-48,0,0
88,-28,0,0
89,-32,0,0
90,-32,0,0
91,-24,0,0
92,-20,0,0
93,-16,0,0
94,-16,0,0
95,-24,0,0
96,-32,0,0
97,-12,0,0
98,-20,0,0
99,-40,0,0
100,-32,0,0
101,-28,0,0
102,-44,0,0
103,-36,0,0
104,-12,0,0
105,-28,0,0
106,-20,0,0
107,-24,0,0
108,-20,0,0
109,-24,0,0
110,-40,0,0
111,-32,0,0
112,-16,0,0
113,-32,0,0
114,-52,0,0
115,-20,0,0
116,-44,0,0
117,-52,0,0
118,-32,0,0
119,-28,0,0
120,-16,0,0
121,-24,0,0
122,-24,0,0
123,-24,0,0
124,-36,0,0
125,-36,0,0
126,-64,0,0
127,-28,0,0
128,-16,0,0
129,-28,0,0
130,-16,0,0
131,-16,0,0
132,-32,0,0
133,-48,0,0
134,-48,0,0
135,-60,0,0
136,-44,0,0
137,-44,0,0
138,-56,0,0
139,-8,0,0
140,-28,0,0
141,-32,0,0
142,-24,0,0
143,-20,0,0
144,-36,0,0
145,-32,0,0
146,-8,0,0
147,-36,0,0
148,-40,0,0
149,-28,0,0
150,-28,0,0
151,-16,0,0
152,0,0,0
153,-16,0,0
154,-24,0,0
155,-52,0,0
156,-48,0,0
157,-28,0,0
158,-24,0,0
159,-20,0,0
160,-44,0,0
161,-24,0,0
162,-20,0,0
163,-24,0,0
164,-28,0,0
165,-24,0,0
166,-44,0,0
167,-52,0,0
168,-28,0,0
169,-20,0,0
170,-12,0,0
171,-24,0,0
172,-16,0,0
173,-24,0,0
174,-32,0,0
175,-44,0,0
176,-52,0,0
177,-20,0,0
178,-16,0,0
179,-24,0,0
180,-20,0,0
181,-12,0,0
182,-28,0,0
183,-36,0,0
184,-24,0,0
185,-32,0,0
186,-32,0,0
187,-68,0,0
188,-64,0,0
189,-40,0,0
190,-20,0,0
191,-48,0,0
192,-40,0,0
193,-32,0,0
194,-36,0,0
195,-48,0,0
196,-20,0,0
197,-12,0,0
198,-28,0,0
199,-36,0,0
