sweep,H,L,T
0,-128,8,2.500
1,-108,0,0
2,-120,0,0
3,-84,0,0
4,-84,0,0
5,-88,0,0
6,-112,0,0
7,-104,0,0
8,-92,0,0
9,-88,0,0
10,-88,0,0
11,-92,0,0
12,-108,0,0
13,-88,0,0
14,-84,0,0
15,-72,0,0
16,-100,0,0
17,-76,0,0
18,-72,0,0
19,-76,0,0
20,-80,0,0
21,-120,0,0
22,-116,0,0
23,-100,0,0
24,-84,0,0
25,-120,0,0
26,-112,0,0
27,-96,0,0
28,-76,0,0
29,-64,0,0
30,-56,0,0
31,-76,0,0
32,-56,0,0
33,-68,0,0
34,-60,0,0
35,-76,0,0
36,-56,0,0
37,-60,0,0
38,-92,0,0
39,-100,0,0
40,-120,0,0
41,-100,0,0
42,-96,0,0
43,-96,0,0
44,-100,0,0
45,-80,0,0
46,-96,0,0
47,-112,0,0
48,-104,0,0
49,-104,0,0
50,-84,0,0
51,-92,0,0
52,-96,0,0
53,-104,0,0
54,-100,0,0
55,-80,0,0
56,-80,0,0
57,-112,0,0
58,-100,0,0
59,-88,0,0
60,-64,0,0
61,-108,0,0
62,-80,0,0
63,-116,0,0
64,-88,0,0
65,-68,0,0
66,-52,0,0
67,-68,0,0
68,-52,0,0
69,-40,0,0
70,-36,0,0
71,-48,0,0
72,-60,0,0
73,-68,0,0
74,-68,0,0
75,-56,0,0
76,-72,0,0
77,-88,0,0
78,-72,0,0
79,-68,0,0
80,-68,0,0
81,-64,0,0
82,-60,0,0
83,-60,0,0
84,-64,0,0
85,-48,0,0
86,-68,0,0
87,-56,0,0
88,-44,0,0
89,-52,0,0
90,-56,0,0
91,-64,0,0
92,-92,0,0
93,-120,0,0
94,-88,0,0
95,-72,0,0
96,-40,0,0
97,-60,0,0
98,-44,0,0
99,-56,0,0
100,-52,0,0
101,-72,0,0
102,-64,0,0
103,-80,0,0
104,-92,0,0
105,-68,0,0
106,-24,0,0
107,-68,0,0
108,-104,0,0
109,-68,0,0
110,-68,0,0
111,-72,0,0
112,-68,0,0
113,-84,0,0
114,-68,0,0
115,-84,0,0
116,-60,0,0
117,-60,0,0
118,-72,0,0
119,-84,0,0
120,-112,0,0
121,-128,0,0
122,-116,0,0
123,-104,0,0
124,-92,0,0
125,-100,0,0
126,-60,0,0
127,-44,0,0
128,-56,0,0
129,-104,0,0
130,-108,0,0
131,-100,0,0
132,-104,0,0
133,-72,0,0
134,-80,0,0
135,-72,0,0
136,-92,0,0
137,-100,0,0
138,-100,0,0
139,-88,0,0
140,-52,0,0
141,-88,0,0
142,-108,0,0
143,-92,0,0
144,-84,0,0
145,-76,0,0
146,-60,0,0
147,-40,0,0
148,-60,0,0
149,-64,0,0
150,-60,0,0
151,-84,0,0
152,-88,0,0
153,-72,0,0
154,-80,0,0
155,-84,0,0
156,-92,0,0
157,-100,0,0
158,-104,0,0
159,-80,0,0
160,-76,0,0
161,-88,0,0
162,-68,0,0
163,-88,0,0
164,-108,0,0
165,-64,0,0
166,-68,0,0
167,-60,0,0
168,-68,0,0
169,-80,0,0
170,-60,0,0
171,-76,0,0
172,-92,0,0
173,-112,0,0
174,-88,0,0
175,-68,0,0
176,-80,0,0
177,-96,0,0
178,-92,0,0
179,-88,0,0
180,-96,0,0
181,-68,0,0
182,-60,0,0
183,-64,0,0
184,-92,0,0
185,-96,0,0
186,-84,0,0
187,-72,0,0
188,-84,0,0
189,-96,0,0
190,-108,0,0
191,-96,0,0
192,-76,0,0
193,-60,0,0
194,-64,0,0
195,-68,0,0
196,-72,0,0
197,-56,0,0
198,-56,0,0
199,-64,0,0
200,-68,0,0
201,-64,0,0
202,-60,0,0
203,-48,0,0
204,-24,0,0
205,-52,0,0
206,-32,0,0
207,-48,0,0
208,-60,0,0
209,-76,0,0
210,-92,0,0
211,-84,0,0
212,-80,0,0
213,-68,0,0
214,-56,0,0
215,-44,0,0
216,-76,0,0
217,-72,0,0
218,-48,0,0
219,-64,0,0
220,-72,0,0
221,-72,0,0
222,-68,0,0
223,-72,0,0
224,-84,0,0
225,-80,0,0
226,-56,0,0
227,-80,0,0
228,-108,0,0
229,-80,0,0
230,-64,0,0
231,-56,0,0
232,-44,0,0
233,-48,0,0
234,-76,0,0
235,-76,0,0
236,-96,0,0
237,-92,0,0
238,-68,0,0
239,-60,0,0
240,-80,0,0
241,-104,0,0
242,-104,0,0
243,-120,0,0
244,-116,0,0
245,-84,0,0
246,-64,0,0
247,-80,0,0
248,-84,0,0
249,-72,0,0
250,-84,0,0
251,-96,0,0
252,-128,0,0
253,-92,0,0
254,-92,0,0
255,-64,0,0
256,-60,0,0
257,-64,0,0
258,-52,0,0
259,-48,0,0
260,-48,0,0
261,-44,0,0
262,-88,0,0
263,-76,0,0
264,-56,0,0
265,-92,0,0
266,-108,0,0
267,-120,0,0
268,-104,0,0
269,-80,0,0
270,-52,0,0
271,-68,0,0
272,-72,0,0
273,-84,0,0
274,-120,0,0
275,-112,0,0
276,-80,0,0
277,-76,0,0
278,-68,0,0
279,-92,0,0
280,-104,0,0
281,-120,0,0
282,-88,0,0
283,-72,0,0
284,-92,0,0
285,-80,0,0
286,-84,0,0
287,-92,0,0
288,-96,0,0
289,-104,0,0
290,-68,0,0
291,-44,0,0
292,-48,0,0
293,-88,0,0
294,-128,0,0
295,-112,0,0
296,-108,0,0
297,-100,0,0
298,-108,0,0
299,-88,0,0
300,-76,0,0
301,-60,0,0
302,-100,0,0
303,-104,0,0
304,-112,0,0
305,-88,0,0
