sweep,H,L,T
0,-8,8,4.000
1,-28,0,0
2,-44,0,0
3,-44,0,0
4,-40,0,0
5,-24,0,0
6,-32,0,0
7,-32,0,0
8,-44,0,0
9,-40,0,0
10,-32,0,0
11,-24,0,0
12,-36,0,0
13,-32,0,0
14,-28,0,0
15,-32,0,0
16,-32,0,0
17,-44,0,0
18,-48,0,0
19,-40,0,0
20,-40,0,0
21,-52,0,0
22,-68,0,0
23,-40,0,0
24,-44,0,0
25,-36,0,0
26,-56,0,0
27,-48,0,0
28,-24,0,0
29,-36,0,0
30,-20,0,0
31,-32,0,0
32,-12,0,0
33,-28,0,0
34,-20,0,0
35,-28,0,0
36,-28,0,0
37,-36,0,0
38,-24,0,0
39,-32,0,0
40,-16,0,0
41,-4,0,0
42,-36,0,0
43,-28,0,0
44,-44,0,0
45,-48,0,0
46,-32,0,0
47,-24,0,0
48,-32,0,0
49,-40,0,0
50,-28,0,0
51,-32,0,0
52,-28,0,0
53,-28,0,0
54,-40,0,0
55,-36,0,0
56,-40,0,0
57,-36,0,0
58,-44,0,0
59,-48,0,0
60,-48,0,0
61,-32,0,0
62,-40,0,0
63,-28,0,0
64,-48,0,0
65,-36,0,0
66,-48,0,0
67,-16,0,0
68,-28,0,0
69,-28,0,0
70,-24,0,0
71,-16,0,0
72,-36,0,0
73,-28,0,0
74,-32,0,0
75,-40,0,0
76,-44,0,0
77,-40,0,0
78,-28,0,0
79,-40,0,0
80,-24,0,0
81,-24,0,0
82,-32,0,0
83,-44,0,0
84,-52,0,0
85,-64,0,0
86,-52,0,0
87,-40,0,0
88,-36,0,0
89,-36,0,0
90,-44,0,0
91,-56,0,0
92,-40,0,0
93,-32,0,0
94,-32,0,0
95,-56,0,0
96,-32,0,0
97,-56,0,0
98,-44,0,0
99,-32,0,0
100,-44,0,0
101,-68,0,0
102,-20,0,0
103,-20,0,0
104,-4,0,0
105,-24,0,0
106,-28,0,0
107,-32,0,0
108,-44,0,0
109,-20,0,0
110,-60,0,0
111,-48,0,0
112,-36,0,0
113,-28,0,0
114,-32,0,0
115,-52,0,0
116,-32,0,0
117,-40,0,0
118,-48,0,0
119,-40,0,0
120,-44,0,0
121,-36,0,0
122,-48,0,0
123,-32,0,0
124,-24,0,0
125,-36,0,0
126,-16,0,0
127,-40,0,0
128,-40,0,0
129,-48,0,0
130,-36,0,0
131,-64,0,0
132,-48,0,0
133,-32,0,0
134,-24,0,0
135,-32,0,0
136,-40,0,0
137,-36,0,0
138,-28,0,0
139,-40,0,0
140,-36,0,0
141,-44,0,0
142,-52,0,0
143,-48,0,0
144,-36,0,0
145,-32,0,0
146,-44,0,0
147,-44,0,0
148,-64,0,0
149,-28,0,0
150,-52,0,0
151,-44,0,0
152,-60,0,0
153,-32,0,0
154,-32,0,0
155,-40,0,0
156,-28,0,0
157,-24,0,0
158,-36,0,0
159,-36,0,0
160,-28,0,0
161,-28,0,0
162,-36,0,0
163,-32,0,0
164,-32,0,0
165,-36,0,0
166,-36,0,0
167,-28,0,0
168,-52,0,0
169,-40,0,0
170,-44,0,0
171,-88,0,0
172,-48,0,0
173,-32,0,0
174,-20,0,0
175,-44,0,0
176,-44,0,0
177,-36,0,0
178,-20,0,0
179,-24,0,0
180,-56,0,0
181,-48,0,0
182,-64,0,0
183,-40,0,0
184,-36,0,0
185,-44,0,0
186,-40,0,0
187,-24,0,0
188,-40,0,0
189,-32,0,0
190,-52,0,0
191,-32,0,0
192,-36,0,0
193,-60,0,0
194,-32,0,0
195,-32,0,0
196,-52,0,0
197,-40,0,0
198,-28,0,0
199,-24,0,0
