sweep,H,L,T
0,-8,8,2.000
1,-76,0,0
2,-92,0,0
3,-112,0,0
4,-112,0,0
5,-108,0,0
6,-92,0,0
7,-100,0,0
8,-100,0,0
9,-84,0,0
10,-96,0,0
11,-76,0,0
12,-68,0,0
13,-112,0,0
14,-128,0,0
15,-120,0,0
16,-120,0,0
17,-108,0,0
18,-120,0,0
19,-120,0,0
20,-112,0,0
21,-104,0,0
22,-88,0,0
23,-112,0,0
24,-120,0,0
25,-128,0,0
26,-128,0,0
27,-120,0,0
28,-128,0,0
29,-92,0,0
30,-92,0,0
31,-120,0,0
32,-128,0,0
33,-104,0,0
34,-76,0,0
35,-80,0,0
36,-112,0,0
37,-120,0,0
38,-128,0,0
39,-120,0,0
40,-112,0,0
41,-112,0,0
42,-108,0,0
43,-120,0,0
44,-120,0,0
45,-128,0,0
46,-104,0,0
47,-108,0,0
48,-100,0,0
49,-108,0,0
50,-128,0,0
51,-128,0,0
52,-116,0,0
53,-128,0,0
54,-128,0,0
55,-120,0,0
56,-96,0,0
57,-96,0,0
58,-96,0,0
59,-108,0,0
60,-92,0,0
61,-120,0,0
62,-128,0,0
63,-128,0,0
64,-128,0,0
65,-112,0,0
66,-92,0,0
67,-96,0,0
68,-104,0,0
69,-120,0,0
70,-108,0,0
71,-116,0,0
72,-108,0,0
73,-80,0,0
74,-108,0,0
75,-104,0,0
76,-104,0,0
77,-120,0,0
78,-120,0,0
79,-128,0,0
80,-112,0,0
81,-108,0,0
82,-108,0,0
83,-120,0,0
84,-112,0,0
85,-120,0,0
86,-112,0,0
87,-104,0,0
88,-112,0,0
89,-84,0,0
90,-112,0,0
91,-120,0,0
92,-120,0,0
93,-112,0,0
94,-112,0,0
95,-104,0,0
96,-120,0,0
97,-104,0,0
98,-112,0,0
99,-112,0,0
100,-112,0,0
101,-120,0,0
102,-128,0,0
103,-116,0,0
104,-120,0,0
105,-92,0,0
106,-112,0,0
107,-120,0,0
108,-120,0,0
109,-108,0,0
110,-96,0,0
111,-108,0,0
112,-96,0,0
113,-112,0,0
114,-112,0,0
115,-128,0,0
116,-128,0,0
117,-128,0,0
118,-120,0,0
119,-112,0,0
120,-120,0,0
121,-120,0,0
122,-128,0,0
123,-116,0,0
124,-120,0,0
125,-116,0,0
126,-120,0,0
127,-120,0,0
128,-104,0,0
129,-104,0,0
130,-92,0,0
131,-112,0,0
132,-100,0,0
133,-128,0,0
134,-112,0,0
135,-108,0,0
136,-84,0,0
137,-112,0,0
138,-112,0,0
139,-120,0,0
140,-104,0,0
141,-112,0,0
142,-120,0,0
143,-128,0,0
144,-96,0,0
145,-120,0,0
146,-128,0,0
147,-120,0,0
148,-112,0,0
149,-128,0,0
150,-120,0,0
151,-112,0,0
152,-128,0,0
153,-128,0,0
154,-120,0,0
155,-108,0,0
156,-100,0,0
157,-100,0,0
158,-108,0,0
159,-128,0,0
160,-120,0,0
161,-112,0,0
162,-128,0,0
163,-128,0,0
164,-128,0,0
165,-120,0,0
166,-128,0,0
167,-108,0,0
168,-112,0,0
169,-128,0,0
170,-104,0,0
171,-112,0,0
172,-128,0,0
173,-120,0,0
174,-120,0,0
175,-100,0,0
176,-104,0,0
177,-112,0,0
178,-108,0,0
179,-128,0,0
180,-120,0,0
181,-120,0,0
182,-112,0,0
183,-120,0,0
184,-128,0,0
185,-112,0,0
186,-128,0,0
187,-112,0,0
188,-108,0,0
189,-128,0,0
190,-120,0,0
191,-128,0,0
192,-120,0,0
193,-80,0,0
194,-104,0,0
195,-128,0,0
196,-104,0,0
197,-112,0,0
198,-112,0,0
199,-120,0,0
200,-120,0,0
201,-120,0,0
202,-92,0,0
203,-108,0,0
204,-112,0,0
205,-104,0,0
206,-100,0,0
207,-88,0,0
208,-120,0,0
209,-108,0,0
210,-120,0,0
211,-120,0,0
212,-128,0,0
213,-128,0,0
214,-128,0,0
215,-128,0,0
216,-128,0,0
217,-128,0,0
218,-104,0,0
219,-96,0,0
220,-88,0,0
221,-84,0,0
222,-100,0,0
223,-116,0,0
224,-112,0,0
225,-128,0,0
226,-120,0,0
227,-128,0,0
228,-128,0,0
229,-120,0,0
230,-120,0,0
231,-128,0,0
232,-128,0,0
233,-128,0,0
234,-120,0,0
235,-108,0,0
236,-120,0,0
237,-104,0,0
238,-104,0,0
239,-92,0,0
240,-100,0,0
241,-88,0,0
242,-104,0,0
243,-120,0,0
244,-120,0,0
245,-112,0,0
246,-120,0,0
247,-104,0,0
248,-128,0,0
249,-128,0,0
250,-108,0,0
251,-128,0,0
252,-120,0,0
253,-128,0,0
254,-120,0,0
255,-120,0,0
256,-128,0,0
257,-120,0,0
258,-96,0,0
259,-92,0,0
260,-108,0,0
261,-96,0,0
262,-76,0,0
263,-116,0,0
264,-120,0,0
265,-128,0,0
266,-116,0,0
267,-92,0,0
268,-100,0,0
269,-112,0,0
270,-120,0,0
271,-100,0,0
272,-88,0,0
273,-120,0,0
274,-100,0,0
275,-128,0,0
276,-116,0,0
277,-128,0,0
278,-128,0,0
279,-128,0,0
280,-128,0,0
281,-108,0,0
282,-120,0,0
283,-128,0,0
284,-100,0,0
285,-76,0,0
286,-104,0,0
287,-112,0,0
288,-104,0,0
289,-96,0,0
290,-112,0,0
291,-112,0,0
292,-92,0,0
293,-108,0,0
294,-88,0,0
295,-88,0,0
296,-84,0,0
297,-108,0,0
298,-116,0,0
299,-120,0,0
300,-120,0,0
301,-128,0,0
302,-104,0,0
303,-92,0,0
304,-100,0,0
305,-128,0,0
306,-120,0,0
307,-128,0,0
308,-96,0,0
309,-104,0,0
310,-120,0,0
311,-96,0,0
312,-104,0,0
313,-120,0,0
314,-120,0,0
315,-120,0,0
316,-120,0,0
317,-112,0,0
318,-120,0,0
319,-120,0,0
320,-120,0,0
321,-120,0,0
322,-100,0,0
323,-100,0,0
324,-100,0,0
325,-112,0,0
326,-120,0,0
327,-116,0,0
328,-108,0,0
329,-108,0,0
330,-120,0,0
331,-116,0,0
332,-96,0,0
333,-104,0,0
334,-108,0,0
335,-104,0,0
336,-120,0,0
337,-96,0,0
338,-104,0,0
339,-104,0,0
340,-112,0,0
341,-120,0,0
342,-128,0,0
343,-120,0,0
344,-128,0,0
345,-112,0,0
346,-120,0,0
347,-100,0,0
348,-100,0,0
349,-120,0,0
350,-128,0,0
351,-112,0,0
352,-128,0,0
353,-128,0,0
354,-104,0,0
355,-112,0,0
356,-116,0,0
357,-120,0,0
358,-116,0,0
359,-104,0,0
360,-112,0,0
361,-120,0,0
362,-116,0,0
363,-120,0,0
364,-128,0,0
365,-128,0,0
366,-120,0,0
367,-116,0,0
368,-116,0,0
369,-128,0,0
370,-128,0,0
371,-128,0,0
372,-120,0,0
373,-128,0,0
374,-120,0,0
375,-120,0,0
376,-112,0,0
377,-120,0,0
378,-112,0,0
379,-104,0,0
380,-108,0,0
381,-128,0,0
382,-120,0,0
383,-128,0,0
384,-112,0,0
385,-120,0,0
386,-112,0,0
387,-128,0,0
388,-120,0,0
389,-128,0,0
390,-128,0,0
391,-112,0,0
392,-128,0,0
393,-120,0,0
394,-108,0,0
395,-104,0,0
396,-112,0,0
397,-104,0,0
398,-120,0,0
399,-84,0,0
400,-108,0,0
401,-88,0,0
402,-92,0,0
403,-100,0,0
404,-100,0,0
405,-92,0,0
406,-96,0,0
407,-116,0,0
408,-120,0,0
409,-120,0,0
410,-100,0,0
411,-92,0,0
412,-100,0,0
413,-112,0,0
414,-96,0,0
415,-104,0,0
416,-120,0,0
417,-128,0,0
418,-116,0,0
419,-116,0,0
420,-108,0,0
421,-116,0,0
422,-116,0,0
423,-116,0,0
424,-120,0,0
425,-112,0,0
426,-120,0,0
427,-128,0,0
428,-116,0,0
429,-120,0,0
430,-120,0,0
431,-120,0,0
432,-116,0,0
433,-128,0,0
434,-128,0,0
435,-108,0,0
436,-112,0,0
437,-108,0,0
438,-128,0,0
439,-104,0,0
440,-128,0,0
441,-112,0,0
442,-88,0,0
443,-108,0,0
444,-108,0,0
445,-120,0,0
446,-120,0,0
447,-80,0,0
448,-112,0,0
449,-112,0,0
450,-108,0,0
451,-104,0,0
452,-108,0,0
453,-128,0,0
454,-120,0,0
455,-96,0,0
456,-120,0,0
457,-108,0,0
458,-128,0,0
459,-104,0,0
460,-72,0,0
461,-104,0,0
462,-108,0,0
463,-104,0,0
464,-120,0,0
465,-116,0,0
466,-120,0,0
467,-112,0,0
468,-116,0,0
469,-120,0,0
470,-108,0,0
471,-104,0,0
472,-96,0,0
473,-120,0,0
474,-108,0,0
475,-112,0,0
476,-112,0,0
477,-104,0,0
478,-104,0,0
479,-120,0,0
480,-116,0,0
481,-120,0,0
482,-112,0,0
483,-108,0,0
484,-120,0,0
485,-104,0,0
486,-100,0,0
487,-112,0,0
488,-104,0,0
489,-112,0,0
490,-108,0,0
491,-104,0,0
492,-112,0,0
493,-120,0,0
494,-112,0,0
495,-128,0,0
496,-128,0,0
497,-128,0,0
498,-120,0,0
499,-120,0,0
500,-120,0,0
501,-104,0,0
502,-100,0,0
503,-72,0,0
504,-96,0,0
505,-120,0,0
506,-120,0,0
507,-120,0,0
508,-92,0,0
509,-100,0,0
510,-120,0,0
511,-128,0,0
512,-128,0,0
513,-104,0,0
514,-84,0,0
515,-120,0,0
516,-128,0,0
517,-120,0,0
518,-120,0,0
519,-120,0,0
520,-112,0,0
521,-120,0,0
522,-128,0,0
523,-128,0,0
524,-128,0,0
525,-120,0,0
526,-80,0,0
527,-80,0,0
528,-84,0,0
529,-92,0,0
530,-104,0,0
531,-120,0,0
532,-112,0,0
533,-108,0,0
534,-108,0,0
535,-92,0,0
536,-80,0,0
537,-100,0,0
538,-128,0,0
539,-112,0,0
540,-120,0,0
541,-128,0,0
542,-104,0,0
543,-116,0,0
544,-100,0,0
545,-112,0,0
546,-88,0,0
547,-112,0,0
548,-108,0,0
549,-92,0,0
550,-120,0,0
551,-104,0,0
552,-120,0,0
553,-116,0,0
554,-128,0,0
555,-112,0,0
556,-108,0,0
557,-92,0,0
558,-96,0,0
559,-116,0,0
