 corr, err
0.50150,   0.00113
   0.45237,   0.00107
   0.40831,   0.00102
   0.36852,   0.00098
   0.33328,   0.00095
   0.30241,   0.00092
   0.27418,   0.00090
   0.24821,   0.00088
   0.22487,   0.00087
   0.20399,   0.00085
   0.18462,   0.00084
   0.16697,   0.00083
   0.15112,   0.00083
   0.13744,   0.00082
   0.12482,   0.00082
   0.11287,   0.00082
   0.10228,   0.00081
   0.09381,   0.00081
   0.08570,   0.00081
   0.07832,   0.00081
   0.07134,   0.00081
   0.06501,   0.00080
   0.05890,   0.00080
   0.05326,   0.00080
   0.04896,   0.00080
   0.04424,   0.00080
   0.04060,   0.00080
   0.03672,   0.00080
   0.03320,   0.00079
   0.02996,   0.00079
   0.02647,   0.00079
   0.02415,   0.00079
   0.02307,   0.00079
   0.02150,   0.00079
   0.01982,   0.00079
   0.01791,   0.00079
   0.01600,   0.00079
   0.01479,   0.00079
   0.01275,   0.00079
   0.01045,   0.00079
   0.00850,   0.00079
   0.00739,   0.00079
   0.00597,   0.00079
   0.00435,   0.00079
   0.00320,   0.00079
   0.00210,   0.00079
   0.00157,   0.00079
   0.00121,   0.00079
   0.00025,   0.00079
  -0.00059,   0.00079
  -0.00106,   0.00078
  -0.00172,   0.00078
  -0.00158,   0.00078
  -0.00093,   0.00079
  -0.00101,   0.00078
  -0.00071,   0.00078
  -0.00029,   0.00078
   0.00028,   0.00078
   0.00089,   0.00078
   0.00085,   0.00078
   0.00129,   0.00078
   0.00210,   0.00078
   0.00346,   0.00078
   0.00467,   0.00078
   0.00662,   0.00078
   0.00800,   0.00078
   0.01014,   0.00078
   0.01207,   0.00078
   0.01461,   0.00078
   0.01690,   0.00078
   0.02004,   0.00078
   0.02276,   0.00079
   0.02519,   0.00079
   0.02813,   0.00079
   0.03116,   0.00079
   0.03398,   0.00079
   0.03668,   0.00079
   0.04007,   0.00079
   0.04470,   0.00079
   0.05067,   0.00079
   0.05623,   0.00079
   0.06369,   0.00080
   0.07131,   0.00080
   0.08096,   0.00080
   0.09116,   0.00081
   0.10235,   0.00081
   0.11514,   0.00082
   0.12817,   0.00082
   0.14290,   0.00083
   0.15916,   0.00084
   0.17704,   0.00084
   0.19843,   0.00085
   0.22090,   0.00087
   0.24610,   0.00089
   0.27405,   0.00091
   0.30446,   0.00093
   0.33712,   0.00096
   0.37332,   0.00099
   0.41210,   0.00103
   0.45504,   0.00108
   0.50150,   0.00113
